단풍 명소	210	520	492768	단풍명소
단풍 시기	2350	8720	433023	단풍시기
내장산 단풍	320	840	91164	내장산단풍
설악산 단풍	330	920	156515	설악산단풍
남한산성 단풍	20	20	25428	남한산성단풍
단풍 가볼만한곳	< 10	10	579100	단풍가볼만한곳
10월 여행지	600	1100	5277498	10월여행지
가을 여행지 추천	250	1080	1167723	가을여행지추천
단풍 당일치기	< 10	< 10	91371	단풍당일치기
화담숲 단풍	300	1380	60068	화담숲단풍
대둔산 단풍	10	60	19215	대둔산단풍
담양 단풍	20	110	48843	담양단풍
무장애 여행	120	180	80371	무장애여행
휴체어 여행지			1	
열린관광지	110	110	1508313	열린관광지
배리어프리 관광	< 10	< 10	9530	배리어프리관광
무장애 나눔길	110	360	33219	무장애나눔길
장애인 여행지	< 10	20	518338	장애인여행지
오이도	5990	44000	686049	오이도
오이도역	1280	14800	140501	오이도역
송도 센트럴파크	3770	34600	396632	송도센트럴파크
대전 러닝코스	150	600	17877	대전러닝코스
올림픽공원	8960	55200	1126266	올림픽공원
갑천	320	1390	162132	갑천
휠체어 여행지	< 10	20	167148	휠체어여행지
